system:time_start,Peshawar,Nowshera,Kabul,Jalalabad
"Jan 1, 2017",282.89,278.388,255.985,259.307
"Feb 2, 2017",290.409,287.118,236.159,295.082
"Mar 6, 2017",229.038,259.558,242.027,300.14
"Apr 7, 2017",304.405,295.333,300.781,294.098
"May 9, 2017",319.535,303.058,313.972,315.523
"Jun 10, 2017",295.841,290.934,311.835,310.609
"Jul 12, 2017",286.012,287.06,308.971,303.951
"Aug 13, 2017",296.723,294.571,307.375,302.672
"Sep 14, 2017",303.139,297.3,306.018,301.689
"Oct 16, 2017",292.908,292.033,296.537,287.352
"Nov 17, 2017",286.668,286.061,284.385,284.661
"Dec 19, 2017",283.601,282.912,233.674,284.568
"Jan 1, 2018",285.463,284.006,284.31,262.427
"Feb 2, 2018",248.938,247.73,280.613,288.512
"Mar 6, 2018",267.083,292.228,295.759,296.416
"Apr 7, 2018",302.67,297.625,303.839,303.362
"May 9, 2018",315.65,308.837,307.907,314.693
"Jun 10, 2018",304.967,299.539,311.934,312.821
"Jul 12, 2018",298.589,294.344,314.679,301.175
"Aug 13, 2018",296.74,289.68,308.487,303.539
"Sep 14, 2018",296.517,291.357,302.918,295.31
"Oct 16, 2018",293.608,290.169,292.505,291.269
"Nov 17, 2018",285.767,284.084,286.254,285.213
"Dec 19, 2018",286.263,284.49,258.382,252.132
"Jan 1, 2019",282.924,282.846,274.462,283.691
"Feb 2, 2019",259.048,277.848,277.349,290.71
"Mar 6, 2019",296.102,292.952,289.742,306.576
"Apr 7, 2019",306.013,295.484,231.173,309.884
"May 9, 2019",311.291,301.643,309.041,317.761
"Jun 10, 2019",305.976,298.564,314.684,315.365
"Jul 12, 2019",300.603,295.296,313.949,301.101
"Aug 13, 2019",296.633,289.307,310.732,301.076
"Sep 14, 2019",300.82,295.008,288.043,302.632
"Oct 16, 2019",292.464,290.246,253.523,295.478
"Nov 17, 2019",284.382,283.407,262.957,248.471
"Dec 19, 2019",238.033,282.66,267.787,259.585
"Jan 1, 2020",248.338,245.617,270.847,259.585
"Feb 2, 2020",246.788,,254.935,254.168
"Mar 5, 2020",285.263,286.601,263.855,253.698
"Apr 6, 2020",291.878,269.213,233.711,302.37
"May 8, 2020",302.194,295.304,307.717,315.452
"Jun 9, 2020",303.697,296.21,313.003,316.61
"Jul 11, 2020",300.263,294.965,312.106,315.902
"Aug 12, 2020",300.825,296.602,307.197,300.324
"Sep 13, 2020",299.575,296.034,302.821,301.065
"Oct 15, 2020",281.547,263.315,294.232,300.757
"Nov 16, 2020",275.576,283.972,261.082,272.164
"Dec 18, 2020",277.342,279.845,282.13,266.927
"Jan 1, 2021",286.735,284.994,283.472,243.194
"Feb 2, 2021",293.98,291.424,293.481,290.11
"Mar 6, 2021",245.959,252.331,298.856,291.711
"Apr 7, 2021",297.257,293.916,229.633,306.954
"May 9, 2021",307.931,299.699,313.385,313.488
"Jun 10, 2021",303.265,296.269,312.854,315.419
"Jul 12, 2021",301.906,296.045,310.576,301.292
"Aug 13, 2021",294.594,292.955,309.575,305.801
"Sep 14, 2021",300.964,298.013,300.389,302.01
"Oct 16, 2021",290.795,289.284,292.546,292.284
"Nov 17, 2021",283.757,282.108,281.652,287.639
"Dec 19, 2021",,,277.068,265.785
"Jan 1, 2022",,,,
